AI Agents | Virtuals Protocol | virtuals-protocol | 24h=27497 | 7d=150634 | 30d=438465 | allTime=2556217
Foundation | Arbitrum Nitro | arbitrum-nitro | 24h=377206 | 7d=820644 | 30d=1037008 | allTime=1403806.21
Gamified Mining | flowr | flowr | 24h=0 | 7d=0 | 30d=0 | allTime=92450
Gamified Mining | LUNA | luna | 24h=0 | 7d=0 | 30d=0 | allTime=201904
Gamified Mining | MinePea | minepea | 24h=55.38 | 7d=6037.38 | 30d=118822.38 | allTime=4476311.76
Gamified Mining | Orchard | orchard | 24h=2.26 | 7d=909.02 | 30d=6640.249999999999 | allTime=17355.399999999998
Gamified Mining | ROAR | roar | 24h=0 | 7d=0 | 30d=11193 | allTime=31968
Gamified Mining | Robhood | robhood | 24h=0 | 7d=0 | 30d=0 | allTime=2785.7700000000004
Gamified Mining | SLVR | slvr | 24h=82079 | 7d=250689 | 30d=617390 | allTime=3568115
Gamified Mining | STEEL | steel | 24h=0 | 7d=0 | 30d=0 | allTime=172894.68
Gamified Mining | StockRip | stockrip | 24h=7190 | 7d=44483 | 30d=209110.52 | allTime=1441032.52
Indexes | The Index | the-index | 24h=14370 | 7d=123080 | 30d=496866 | allTime=1667391
Interface | Tread.fi Perps | tread.fi-perps | 24h=0 | 7d=0 | 30d=0 | allTime=0
Launchpad | Aaro Trade | aaro-trade | 24h=0 | 7d=0 | 30d=0 | allTime=846.61
Launchpad | Agen.space | agen.space | 24h=357 | 7d=10763 | 30d=16726.010000000002 | allTime=17083.010000000002
Launchpad | AgentRanking | agentranking | 24h=0 | 7d=0 | 30d=0 | allTime=0
Launchpad | AGNT | agnt | 24h=1330 | 7d=5626.47 | 30d=5627.58 | allTime=9176.66
Launchpad | ArrowPad | arrowpad | 24h=0 | 7d=0 | 30d=0 | allTime=0
Launchpad | ArrowPad.fun | arrowpad.fun | 24h=0.99 | 7d=10.100000000000001 | 30d=97.94 | allTime=347.3300000000001
Launchpad | AvaLove | avalove | 24h=0 | 7d=0 | 30d=0 | allTime=0
Launchpad | Bags | bags | 24h=22155 | 7d=66882 | 30d=203850 | allTime=585729
Launchpad | Based Alpha | based-alpha | 24h=0 | 7d=0 | 30d=2.93 | allTime=5919.390000000004
Launchpad | basedbid | basedbid | 24h=1063 | 7d=4238.01 | 30d=12142.050000000001 | allTime=23206.66999999999
Launchpad | Boardwalk | boardwalk | 24h=0 | 7d=177.85000000000002 | 30d=301.28999999999996 | allTime=301.28999999999996
Launchpad | bow.fun | bow.fun | 24h=458 | 7d=3142 | 30d=31264 | allTime=431612
Launchpad | BowYard | bowyard | 24h=0 | 7d=0 | 30d=0 | allTime=0.51
Launchpad | Coinbarrel | coinbarrel | 24h=10498 | 7d=108291 | 30d=124515.35 | allTime=164215.91999999998
Launchpad | DexLaunch | dexlaunch | 24h=0.71 | 7d=25.58 | 30d=39.14 | allTime=40.660000000000004
Launchpad | Diggers | diggers | 24h=0 | 7d=0 | 30d=2.02 | allTime=85.81000000000002
Launchpad | DOTT | dott | 24h=0 | 7d=0 | 30d=0 | allTime=4.34
Launchpad | Flap sh | flap-sh | 24h=9177 | 7d=58950 | 30d=179570 | allTime=1077783
Launchpad | Frontier | frontier | 24h=55 | 7d=2000.3600000000001 | 30d=3093.55 | allTime=3866.64
Launchpad | Goon | goon | 24h=null | 7d=null | 30d=2.3200000000000003 | allTime=9.459999999999999
