BONER num 0xccee82fe poolFee 8388608 hook 0x6f02324d status 2 bb 0x92d435c96e63c43e12d6d0ab28f6b0b04072f765 sched {'startingTime': 1787259586, 'startFee': 800000, 'endFee': 11200, 'lastFee': 11200, 'durationSeconds': 10} mode 0 dist [0.0, 71.42857142857143, 0.0, 28.571428571428573, 14.285714285714286, 71.42857142857143, 0.0, 14.285714285714286] bens [('0x21e2ce70', 5.0), ('0x79aeae6a', 95.0)] cum0 3654506.9218719034 cum1 390.10207072133875 hookLiq 80175637474429474608777 benFees 90988092954428738145878 34360496832379668965 ownerFees 3434519259918972512140940 333200731523010292928
AI num 0xd0601ce1 poolFee 8388608 hook 0x6f02324d status 2 bb 0x92d435c96e63c43e12d6d0ab28f6b0b04072f765 sched {'startingTime': 1784051311, 'startFee': 800000, 'endFee': 8000, 'lastFee': 8000, 'durationSeconds': 10} mode 0 dist [0.0, 100.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0] bens [('0x4a0cb7ee', 95.0), ('0xedeaa06e', 5.0)] cum0 72696337.95426969 cum1 1844.3413362483661 hookLiq 0 benFees 0 0 ownerFees 5651662759614467000309636 125315891273783937546
SPACEHOOD num 0x4a0e65a3 poolFee 8388608 hook 0x6f02324d status 2 bb 0x92d435c96e63c43e12d6d0ab28f6b0b04072f765 sched {'startingTime': 1784040493, 'startFee': 800000, 'endFee': 8000, 'lastFee': 8000, 'durationSeconds': 10} mode 0 dist [0.0, 100.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0] bens [('0x1ae51740', 95.0), ('0xedeaa06e', 5.0)] cum0 0.0 cum1 0.0 hookLiq 0 benFees 0 0 ownerFees 42625583749842624042 6950138930107753757909125
JOHNDOG num 0x92fd6652 poolFee 8388608 hook 0x6f02324d status 2 bb 0x92d435c96e63c43e12d6d0ab28f6b0b04072f765 sched {'startingTime': 1788312314, 'startFee': 800000, 'endFee': 11200, 'lastFee': 11200, 'durationSeconds': 10} mode 0 dist [0.0, 71.42857142857143, 0.0, 28.571428571428573, 14.285714285714286, 71.42857142857143, 0.0, 14.285714285714286] bens [('0x21e2ce70', 5.0), ('0x9b984976', 95.0)] cum0 1295237.8869893844 cum1 3.844610859874263 hookLiq 29702315583543062384584 benFees 104474223282046170642991 1148626350818701243 ownerFees 3242411739315893599493306 20829477622966887266
MOO num 0xff080c8c poolFee 8388608 hook 0x6f02324d status 2 bb 0x92d435c96e63c43e12d6d0ab28f6b0b04072f765 sched {'startingTime': 1784572502, 'startFee': 800000, 'endFee': 8000, 'lastFee': 8000, 'durationSeconds': 10} mode 0 dist [0.0, 100.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0] bens [('0xedeaa06e', 5.0), ('0xf415398e', 95.0)] cum0 81787024.85184088 cum1 118.00004991347983 hookLiq 0 benFees 0 0 ownerFees 6287850320137375703802138 7882653688749633369
HIAI num 0x05b37fb5 poolFee 8388608 hook 0x6f02324d status 2 bb 0x92d435c96e63c43e12d6d0ab28f6b0b04072f765 sched {'startingTime': 1788320877, 'startFee': 800000, 'endFee': 11200, 'lastFee': 11200, 'durationSeconds': 10} mode 0 dist [0.0, 71.42857142857143, 0.0, 28.571428571428573, 14.285714285714286, 71.42857142857143, 0.0, 14.285714285714286] bens [('0x21e2ce70', 5.0), ('0x79e66062', 95.0)] cum0 0.0 cum1 0.0 hookLiq 38162802997356491946 benFees 769573720901 2688756903211184365 ownerFees 3489594928739048 24814178109484454963504
AU num 0x58ffe4a9 poolFee 8388608 hook 0x6f02324d status 2 bb 0x92d435c96e63c43e12d6d0ab28f6b0b04072f765 sched {'startingTime': 1787885490, 'startFee': 800000, 'endFee': 11200, 'lastFee': 11200, 'durationSeconds': 10} mode 0 dist [0.0, 71.42857142857143, 0.0, 28.571428571428573, 14.285714285714286, 71.42857142857143, 0.0, 14.285714285714286] bens [('0x1919214f', 95.0), ('0x21e2ce70', 5.0)] cum0 8.873957086196933 cum1 3263423.070380106 hookLiq 28371399491733186488006 benFees 1519363090252456978 256488959651549036155898 ownerFees 14393299802152453639 4322022567423260134386259
SAYLORMOON num 0xec262a75 poolFee 8388608 hook 0x6f02324d status 2 bb 0x92d435c96e63c43e12d6d0ab28f6b0b04072f765 sched {'startingTime': 1787968557, 'startFee': 800000, 'endFee': 11200, 'lastFee': 11200, 'durationSeconds': 10} mode 0 dist [0.0, 71.42857142857143, 0.0, 28.571428571428573, 14.285714285714286, 71.42857142857143, 0.0, 14.285714285714286] bens [('0x0a148bac', 95.0), ('0x21e2ce70', 5.0)] cum0 3771376.790830821 cum1 20.194768806240457 hookLiq 55026861418818281012359 benFees 312483004276223582563252 5445802500688086532 ownerFees 5093813994347601683037107 47237014788050287818
CLIPPY num 0xe93237c5 poolFee 8388608 hook 0x6f02324d status 2 bb 0x92d435c96e63c43e12d6d0ab28f6b0b04072f765 sched {'startingTime': 1784316990, 'startFee': 800000, 'endFee': 8000, 'lastFee': 8000, 'durationSeconds': 10} mode 0 dist [0.0, 100.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0] bens [('0x29ccc8f5', 95.0), ('0xedeaa06e', 5.0)] cum0 31434677.326968897 cum1 19.90947819463934 hookLiq 0 benFees 0 0 ownerFees 5071189349807637923559371 5463430985183534257
AIANTIVAX num 0x43b07d15 poolFee 8388608 hook 0x6f02324d status 2 bb 0x92d435c96e63c43e12d6d0ab28f6b0b04072f765 sched {'startingTime': 1788321253, 'startFee': 800000, 'endFee': 11200, 'lastFee': 11200, 'durationSeconds': 10} mode 0 dist [0.0, 71.42857142857143, 0.0, 28.571428571428573, 14.285714285714286, 71.42857142857143, 0.0, 14.285714285714286] bens [('0x21e2ce70', 5.0), ('0x4be370ad', 95.0)] cum0 0.003460653093529816 cum1 28099.191572964504 hookLiq 28130372682163906195 benFees 105323096327 1719382942022400348 ownerFees 2377081816516172 19721896302840813659812
